,index,Year,State,D_p,N_p,O_p,R_p,D_s,N_s,O_s,R_s,D_h,O_h,R_h,D_g,O_g,R_g,code
0,3722,1850,Minnesota,,,,,0.0,1.0,0.0,0.0,,,,,,,MN
1,3701,1850,Alaska,,,,,0.0,1.0,0.0,0.0,,,,,,,AK
2,3729,1850,New_Jersey,,,,,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,NJ
3,3730,1850,New_Mexico,,,,,0.0,1.0,0.0,0.0,,,,,,,NM
4,3731,1850,New_York,,,,,0.0,0.0,1.0,0.0,17.0,17.0,0.0,0.0,1.0,0.0,NY
5,3732,1850,North_Carolina,,,,,0.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,NC
6,3733,1850,North_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,ND
7,3734,1850,Ohio,,,,,0.0,0.0,1.0,0.0,10.0,11.0,0.0,,,,OH
8,3735,1850,Oklahoma,,,,,0.0,1.0,0.0,0.0,,,,,,,OK
9,3736,1850,Oregon,,,,,0.0,1.0,0.0,0.0,,,,,,,OR
10,3737,1850,Pennsylvania,,,,,1.0,0.0,0.0,0.0,15.0,9.0,0.0,1.0,0.0,0.0,PA
11,3738,1850,Rhode_Island,,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,RI
12,3739,1850,South_Carolina,,,,,0.0,1.0,0.0,0.0,7.0,0.0,0.0,,,,SC
13,3740,1850,South_Dakota,,,,,0.0,1.0,0.0,0.0,,,,,,,SD
14,3741,1850,Tennessee,,,,,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,TN
15,3742,1850,Texas,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,TX
16,3743,1850,Utah,,,,,0.0,1.0,0.0,0.0,,,,,,,UT
17,3744,1850,Vermont,,,,,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,VT
18,3745,1850,Virginia,,,,,1.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,VA
19,3746,1850,Washington,,,,,0.0,1.0,0.0,0.0,,,,,,,WA
20,3747,1850,West_Virginia,,,,,0.0,1.0,0.0,0.0,,,,,,,WV
21,3748,1850,Wisconsin,,,,,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,WI
22,3749,1850,Wyoming,,,,,0.0,1.0,0.0,0.0,,,,,,,WY
23,3728,1850,New_Hampshire,,,,,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,NH
24,3727,1850,Nevada,,,,,0.0,1.0,0.0,0.0,,,,,,,NV
25,3700,1850,Alabama,,,,,0.0,1.0,0.0,0.0,4.0,3.0,0.0,,,,AL
26,3725,1850,Montana,,,,,0.0,1.0,0.0,0.0,,,,,,,MT
27,3726,1850,Nebraska,,,,,0.0,1.0,0.0,0.0,,,,,,,NE
28,3702,1850,Arizona,,,,,0.0,1.0,0.0,0.0,,,,,,,AZ
29,3703,1850,Arkansas,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,AR
30,3704,1850,California,,,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,CA
31,3705,1850,Colorado,,,,,0.0,1.0,0.0,0.0,,,,,,,CO
32,3706,1850,Connecticut,,,,,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,CT
33,3707,1850,Delaware,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,DE
34,3709,1850,Georgia,,,,,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,GA
35,3710,1850,Hawaii,,,,,0.0,1.0,0.0,0.0,,,,,,,HI
36,3711,1850,Idaho,,,,,0.0,1.0,0.0,0.0,,,,,,,ID
37,3712,1850,Illinois,,,,,0.0,1.0,0.0,0.0,6.0,1.0,0.0,,,,IL
38,3708,1850,Florida,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,FL
39,3714,1850,Iowa,,,,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,IA
40,3715,1850,Kansas,,,,,0.0,1.0,0.0,0.0,,,,,,,KS
41,3716,1850,Kentucky,,,,,0.0,1.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,KY
42,3724,1850,Missouri,,,,,0.0,0.0,1.0,0.0,2.0,3.0,0.0,,,,MO
43,3717,1850,Louisiana,,,,,0.0,1.0,0.0,0.0,2.0,2.0,0.0,,,,LA
44,3718,1850,Maine,,,,,1.0,0.0,0.0,0.0,5.0,3.0,0.0,,,,ME
45,3719,1850,Maryland,,,,,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,MD
46,3720,1850,Massachusetts,,,,,0.0,0.0,1.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,MA
47,3721,1850,Michigan,,,,,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,MI
48,3723,1850,Mississippi,,,,,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,MS
49,3713,1850,Indiana,,,,,1.0,0.0,0.0,0.0,8.0,2.0,0.0,,,,IN
50,816,1852,Kentucky,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,,,,KY
51,817,1852,Louisiana,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,LA
52,818,1852,Maine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,ME
53,823,1852,Mississippi,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,MS
54,820,1852,Massachusetts,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,MA
55,821,1852,Michigan,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,MI
56,822,1852,Minnesota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,MN
57,815,1852,Kansas,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,KS
58,819,1852,Maryland,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,MD
59,814,1852,Iowa,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,IA
60,803,1852,Arkansas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,AR
61,812,1852,Illinois,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,IL
62,811,1852,Idaho,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,ID
63,810,1852,Hawaii,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,HI
64,809,1852,Georgia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,GA
65,808,1852,Florida,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,FL
66,807,1852,Delaware,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,DE
67,806,1852,Connecticut,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,CT
68,805,1852,Colorado,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,CO
69,804,1852,California,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,CA
70,824,1852,Missouri,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,MO
71,813,1852,Indiana,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,,,,IN
72,825,1852,Montana,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,MT
73,837,1852,Pennsylvania,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,9.0,0.0,,,,PA
74,827,1852,Nevada,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NV
75,802,1852,Arizona,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,AZ
76,849,1852,Wyoming,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WY
77,848,1852,Wisconsin,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,WI
78,847,1852,West_Virginia,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WV
79,846,1852,Washington,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,WA
80,845,1852,Virginia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,VA
81,844,1852,Vermont,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,VT
