Name,State,Term,Party
"SUMTER, Thomas",South Carolina,1st Congress (1789-1791),Anti-Administration
"BLAND, Theodorick",Virginia,1st Congress (1789-1791),Anti-Administration
"ASHE, John Baptista",North Carolina,1st Congress (1789-1791),Anti-Administration
"MATHEWS, George",Georgia,1st Congress (1789-1791),Anti-Administration
"BLOODWORTH, Timothy",North Carolina,1st Congress (1789-1791),Anti-Administration
"COLES, Isaac",Virginia,1st Congress (1789-1791),Anti-Administration
"JACKSON, James",Georgia,1st Congress (1789-1791),Anti-Administration
"BROWN, John",Virginia,1st Congress (1789-1791),Anti-Administration
"MOORE, Andrew",Virginia,1st Congress (1789-1791),Anti-Administration
"BALDWIN, Abraham",Georgia,1st Congress (1789-1791),Anti-Administration
"SEVIER, John",North Carolina,1st Congress (1789-1791),Pro-Administration
"CONTEE, Benjamin",Maryland,1st Congress (1789-1791),Anti-Administration
"MADISON, James, Jr.",Virginia,1st Congress (1789-1791),Anti-Administration
"PAGE, John",Virginia,1st Congress (1789-1791),Anti-Administration
"WILLIAMSON, Hugh",North Carolina,1st Congress (1789-1791),Anti-Administration
"GILES, William Branch",Virginia,1st Congress (1789-1791),Anti-Administration
"STONE, Michael Jenifer",Maryland,1st Congress (1789-1791),Anti-Administration
"HIESTER, Daniel",Pennsylvania,1st Congress (1789-1791),Anti-Administration
"MUHLENBERG, John Peter Gabriel",Pennsylvania,1st Congress (1789-1791),Pro-Administration
"WHITE, Alexander",Virginia,1st Congress (1789-1791),Pro-Administration
"CARROLL, Daniel",Maryland,1st Congress (1789-1791),Pro-Administration
"BURKE, Aedanus",South Carolina,1st Congress (1789-1791),Anti-Administration
"HATHORN, John",New York,1st Congress (1789-1791),Anti-Administration
"GRIFFIN, Samuel",Virginia,1st Congress (1789-1791),Pro-Administration
"TUCKER, Thomas Tudor",South Carolina,1st Congress (1789-1791),Anti-Administration
"PARKER, Josiah",Virginia,1st Congress (1789-1791),Anti-Administration
"STEELE, John",North Carolina,1st Congress (1789-1791),Pro-Administration
"SENEY, Joshua",Maryland,1st Congress (1789-1791),Anti-Administration
"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,1st Congress (1789-1791),Anti-Administration
"LEE, Richard Bland",Virginia,1st Congress (1789-1791),Pro-Administration
"GALE, George",Maryland,1st Congress (1789-1791),Pro-Administration
"VAN RENSSELAER, Jeremiah",New York,1st Congress (1789-1791),Anti-Administration
"GROUT, Jonathan",Massachusetts,1st Congress (1789-1791),Anti-Administration
"SCOTT, Thomas",Pennsylvania,1st Congress (1789-1791),Pro-Administration
"LIVERMORE, Samuel",New Hampshire,1st Congress (1789-1791),Anti-Administration
"FLOYD, William",New York,1st Congress (1789-1791),Anti-Administration
"GILMAN, Nicholas",New Hampshire,1st Congress (1789-1791),Pro-Administration
"SMITH, William",Maryland,1st Congress (1789-1791),Anti-Administration
"VINING, John",Delaware,1st Congress (1789-1791),Pro-Administration
"HUGER, Daniel",South Carolina,1st Congress (1789-1791),Pro-Administration
"HARTLEY, Thomas",Pennsylvania,1st Congress (1789-1791),Pro-Administration
"SMITH, William Loughton",South Carolina,1st Congress (1789-1791),Pro-Administration
"GERRY, Elbridge",Massachusetts,1st Congress (1789-1791),Anti-Administration
"STURGES, Jonathan",Connecticut,1st Congress (1789-1791),Pro-Administration
"FITZSIMONS, Thomas",Pennsylvania,1st Congress (1789-1791),Pro-Administration
"SILVESTER, Peter",New York,1st Congress (1789-1791),Pro-Administration
"BOUDINOT, Elias",New Jersey,1st Congress (1789-1791),Pro-Administration
"SINNICKSON, Thomas",New Jersey,1st Congress (1789-1791),Pro-Administration
"SHERMAN, Roger",Connecticut,1st Congress (1789-1791),Pro-Administration
"SCHUREMAN, James",New Jersey,1st Congress (1789-1791),Pro-Administration
"CLYMER, George",Pennsylvania,1st Congress (1789-1791),Pro-Administration
"HUNTINGTON, Benjamin",Connecticut,1st Congress (1789-1791),Pro-Administration
"WYNKOOP, Henry",Pennsylvania,1st Congress (1789-1791),Pro-Administration
"PARTRIDGE, George",Massachusetts,1st Congress (1789-1791),Pro-Administration
"TRUMBULL, Jonathan, Jr.",Connecticut,1st Congress (1789-1791),Pro-Administration
"CADWALADER, Lambert",New Jersey,1st Congress (1789-1791),Pro-Administration
"BOURNE, Benjamin",Rhode Island,1st Congress (1789-1791),Pro-Administration
"WADSWORTH, Jeremiah",Connecticut,1st Congress (1789-1791),Pro-Administration
"LAURANCE, John",New York,1st Congress (1789-1791),Pro-Administration
"FOSTER, Abiel",New Hampshire,1st Congress (1789-1791),Pro-Administration
"GOODHUE, Benjamin",Massachusetts,1st Congress (1789-1791),Pro-Administration
"BENSON, Egbert",New York,1st Congress (1789-1791),Pro-Administration
"SEDGWICK, Theodore",Massachusetts,1st Congress (1789-1791),Pro-Administration
"THACHER, George",Massachusetts,1st Congress (1789-1791),Pro-Administration
"LEONARD, George",Massachusetts,1st Congress (1789-1791),Pro-Administration
"AMES, Fisher",Massachusetts,1st Congress (1789-1791),Pro-Administration
"SUMTER, Thomas",South Carolina,2nd Congress (1791-1793),Anti-Administration
"ASHE, John Baptista",North Carolina,2nd Congress (1791-1793),Anti-Administration
"MERCER, John Francis",Maryland,2nd Congress (1791-1793),Anti-Administration
"MACON, Nathaniel",North Carolina,2nd Congress (1791-1793),Anti-Administration
"BROWN, John",Virginia,2nd Congress (1791-1793),Anti-Administration
"MOORE, Andrew",Virginia,2nd Congress (1791-1793),Anti-Administration
"VENABLE, Abraham Bedford",Virginia,2nd Congress (1791-1793),Anti-Administration
"GREENUP, Christopher",Kentucky,2nd Congress (1791-1793),Anti-Administration
"BALDWIN, Abraham",Georgia,2nd Congress (1791-1793),Anti-Administration
"TREDWELL, Thomas",New York,2nd Congress (1791-1793),Anti-Administration
"WILLIS, Francis",Georgia,2nd Congress (1791-1793),Anti-Administration
"PINKNEY, William",Maryland,2nd Congress (1791-1793),Pro-Administration
"MADISON, James, Jr.",Virginia,2nd Congress (1791-1793),Anti-Administration
"PAGE, John",Virginia,2nd Congress (1791-1793),Anti-Administration
"FINDLEY, William",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
"GREGG, Andrew",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
"ORR, Alexander Dalrymple",Kentucky,2nd Congress (1791-1793),Anti-Administration
"MILLEDGE, John",Georgia,2nd Congress (1791-1793),Anti-Administration
"SCHOONMAKER, Cornelius Corneliusen",New York,2nd Congress (1791-1793),Anti-Administration
"SMITH, Israel",Vermont,2nd Congress (1791-1793),Anti-Administration
"WILLIAMSON, Hugh",North Carolina,2nd Congress (1791-1793),Anti-Administration
"GILES, William Branch",Virginia,2nd Congress (1791-1793),Anti-Administration
"KITCHELL, Aaron",New Jersey,2nd Congress (1791-1793),Pro-Administration
"HIESTER, Daniel",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
"WHITE, Alexander",Virginia,2nd Congress (1791-1793),Pro-Administration
"WAYNE, Anthony",Georgia,2nd Congress (1791-1793),Anti-Administration
"GRIFFIN, Samuel",Virginia,2nd Congress (1791-1793),Anti-Administration
"TUCKER, Thomas Tudor",South Carolina,2nd Congress (1791-1793),Anti-Administration
"PARKER, Josiah",Virginia,2nd Congress (1791-1793),Anti-Administration
"STEELE, John",North Carolina,2nd Congress (1791-1793),Pro-Administration
"NILES, Nathaniel",Vermont,2nd Congress (1791-1793),Anti-Administration
"SENEY, Joshua",Maryland,2nd Congress (1791-1793),Anti-Administration
"KEY, Philip",Maryland,2nd Congress (1791-1793),Pro-Administration
"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,2nd Congress (1791-1793),Anti-Administration
"LEE, Richard Bland",Virginia,2nd Congress (1791-1793),Pro-Administration
"CLARK, Abraham",New Jersey,2nd Congress (1791-1793),Pro-Administration
"JACOBS, Israel",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
"GROVE, William Barry",North Carolina,2nd Congress (1791-1793),Pro-Administration
"LIVERMORE, Samuel",New Hampshire,2nd Congress (1791-1793),Pro-Administration
"STERETT, Samuel",Maryland,2nd Congress (1791-1793),Anti-Administration
"GILMAN, Nicholas",New Hampshire,2nd Congress (1791-1793),Pro-Administration
"MURRAY, William Vans",Maryland,2nd Congress (1791-1793),Pro-Administration
"VINING, John",Delaware,2nd Congress (1791-1793),Pro-Administration
"HUGER, Daniel",South Carolina,2nd Congress (1791-1793),Pro-Administration
"SMITH, Jeremiah",New Hampshire,2nd Congress (1791-1793),Pro-Administration
"HARTLEY, Thomas",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
"SMITH, William Loughton",South Carolina,2nd Congress (1791-1793),Pro-Administration
"DAYTON, Jonathan",New Jersey,2nd Congress (1791-1793),Pro-Administration
"BARNWELL, Robert",South Carolina,2nd Congress (1791-1793),Pro-Administration
"GERRY, Elbridge",Massachusetts,2nd Congress (1791-1793),Anti-Administration
"STURGES, Jonathan",Connecticut,2nd Congress (1791-1793),Pro-Administration
"FITZSIMONS, Thomas",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
"SILVESTER, Peter",New York,2nd Congress (1791-1793),Pro-Administration
"GORDON, James",New York,2nd Congress (1791-1793),Pro-Administration
"BOUDINOT, Elias",New Jersey,2nd Congress (1791-1793),Pro-Administration
"KITTERA, John Wilkes",Pennsylvania,2nd Congress (1791-1793),Pro-Administration
"HILLHOUSE, James",Connecticut,2nd Congress (1791-1793),Pro-Administration
"TRUMBULL, Jonathan, Jr.",Connecticut,2nd Congress (1791-1793),Pro-Administration
"BOURNE, Benjamin",Rhode Island,2nd Congress (1791-1793),Pro-Administration
"WADSWORTH, Jeremiah",Connecticut,2nd Congress (1791-1793),Pro-Administration
"LAURANCE, John",New York,2nd Congress (1791-1793),Pro-Administration
"GOODHUE, Benjamin",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"HINDMAN, William",Maryland,2nd Congress (1791-1793),Pro-Administration
"BENSON, Egbert",New York,2nd Congress (1791-1793),Pro-Administration
"LEARNED, Amasa",Connecticut,2nd Congress (1791-1793),Pro-Administration
"WARD, Artemas",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"SEDGWICK, Theodore",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"THACHER, George",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"LEONARD, George",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"AMES, Fisher",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"BOURNE, Shearjashub",Massachusetts,2nd Congress (1791-1793),Pro-Administration
"SHEREDINE, Upton",Maryland,2nd Congress (1791-1793),Anti-Administration
"McDOWELL, Joseph",North Carolina,3rd Congress (1793-1795),Anti-Administration
"WALKER, Francis",Virginia,3rd Congress (1793-1795),Anti-Administration
"MERCER, John Francis",Maryland,3rd Congress (1793-1795),Anti-Administration
"LOCKE, Matthew",North Carolina,3rd Congress (1793-1795),Anti-Administration
"BENTON, Lemuel",South Carolina,3rd Congress (1793-1795),Anti-Administration
"COLES, Isaac",Virginia,3rd Congress (1793-1795),Anti-Administration
"MEBANE, Alexander",North Carolina,3rd Congress (1793-1795),Anti-Administration
"MACON, Nathaniel",North Carolina,3rd Congress (1793-1795),Anti-Administration
"BLOUNT, Thomas",North Carolina,3rd Congress (1793-1795),Anti-Administration
"MOORE, Andrew",Virginia,3rd Congress (1793-1795),Anti-Administration
"VENABLE, Abraham Bedford",Virginia,3rd Congress (1793-1795),Anti-Administration
"NEW, Anthony",Virginia,3rd Congress (1793-1795),Anti-Administration
"WINN, Richard",South Carolina,3rd Congress (1793-1795),Anti-Administration
"GREENUP, Christopher",Kentucky,3rd Congress (1793-1795),Anti-Administration
"BALDWIN, Abraham",Georgia,3rd Congress (1793-1795),Anti-Administration
"WILLIAMS, Benjamin",North Carolina,3rd Congress (1793-1795),Anti-Administration
"TREDWELL, Thomas",New York,3rd Congress (1793-1795),Anti-Administration
"SMILIE, John",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
"BAILEY, Theodorus",New York,3rd Congress (1793-1795),Anti-Administration
"LYMAN, William",Massachusetts,3rd Congress (1793-1795),Anti-Administration
"PATTEN, John",Delaware,3rd Congress (1793-1795),Anti-Administration
"DAWSON, William Johnson",North Carolina,3rd Congress (1793-1795),Anti-Administration
"PRESTON, Francis",Virginia,3rd Congress (1793-1795),Anti-Administration
"WINSTON, Joseph",North Carolina,3rd Congress (1793-1795),Anti-Administration
"CLAIBORNE, Thomas",Virginia,3rd Congress (1793-1795),Anti-Administration
"GILLESPIE, James",North Carolina,3rd Congress (1793-1795),Anti-Administration
"RUTHERFORD, Robert",Virginia,3rd Congress (1793-1795),Anti-Administration
"NICHOLAS, John",Virginia,3rd Congress (1793-1795),Anti-Administration
"MADISON, James, Jr.",Virginia,3rd Congress (1793-1795),Anti-Administration
"HARRISON, Carter Bassett",Virginia,3rd Congress (1793-1795),Anti-Administration
"PAGE, John",Virginia,3rd Congress (1793-1795),Anti-Administration
"WINGATE, Paine",New Hampshire,3rd Congress (1793-1795),Pro-Administration
"CHRISTIE, Gabriel",Maryland,3rd Congress (1793-1795),Anti-Administration
"FINDLEY, William",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
"GREGG, Andrew",Pennsylvania,3rd Congress (1793-1795),Anti-Administration
"ORR, Alexander Dalrymple",Kentucky,3rd Congress (1793-1795),Anti-Administration
"HANCOCK, George",Virginia,3rd Congress (1793-1795),Pro-Administration
