,Name,State,Term,Party
0,"SUMTER, Thomas",South Carolina,1st Congress (1789-1791),Anti-Administration
1,"BLAND, Theodorick",Virginia,1st Congress (1789-1791),Anti-Administration
2,"ASHE, John Baptista",North Carolina,1st Congress (1789-1791),Anti-Administration
3,"MATHEWS, George",Georgia,1st Congress (1789-1791),Anti-Administration
4,"BLOODWORTH, Timothy",North Carolina,1st Congress (1789-1791),Anti-Administration
5,"COLES, Isaac",Virginia,1st Congress (1789-1791),Anti-Administration
6,"JACKSON, James",Georgia,1st Congress (1789-1791),Anti-Administration
7,"BROWN, John",Virginia,1st Congress (1789-1791),Anti-Administration
8,"MOORE, Andrew",Virginia,1st Congress (1789-1791),Anti-Administration
9,"BALDWIN, Abraham",Georgia,1st Congress (1789-1791),Anti-Administration
10,"SEVIER, John",North Carolina,1st Congress (1789-1791),Pro-Administration
11,"CONTEE, Benjamin",Maryland,1st Congress (1789-1791),Anti-Administration
12,"MADISON, James, Jr.",Virginia,1st Congress (1789-1791),Anti-Administration
13,"PAGE, John",Virginia,1st Congress (1789-1791),Anti-Administration
14,"WILLIAMSON, Hugh",North Carolina,1st Congress (1789-1791),Anti-Administration
15,"GILES, William Branch",Virginia,1st Congress (1789-1791),Anti-Administration
16,"STONE, Michael Jenifer",Maryland,1st Congress (1789-1791),Anti-Administration
17,"HIESTER, Daniel",Pennsylvania,1st Congress (1789-1791),Anti-Administration
18,"MUHLENBERG, John Peter Gabriel",Pennsylvania,1st Congress (1789-1791),Pro-Administration
19,"WHITE, Alexander",Virginia,1st Congress (1789-1791),Pro-Administration
20,"CARROLL, Daniel",Maryland,1st Congress (1789-1791),Pro-Administration
21,"BURKE, Aedanus",South Carolina,1st Congress (1789-1791),Anti-Administration
22,"HATHORN, John",New York,1st Congress (1789-1791),Anti-Administration
23,"GRIFFIN, Samuel",Virginia,1st Congress (1789-1791),Pro-Administration
24,"TUCKER, Thomas Tudor",South Carolina,1st Congress (1789-1791),Anti-Administration
25,"PARKER, Josiah",Virginia,1st Congress (1789-1791),Anti-Administration
26,"STEELE, John",North Carolina,1st Congress (1789-1791),Pro-Administration
27,"SENEY, Joshua",Maryland,1st Congress (1789-1791),Anti-Administration
28,"MUHLENBERG, Frederick Augustus Conrad",Pennsylvania,1st Congress (1789-1791),Anti-Administration
